Parameter,Value
Hostname,fedora
OS Info,"Fedora Linux 37 (KDE Plasma), Kernel: 6.5.12-100.fc37.x86_64"
glibc Version,2.36
CPU Model,AMD Ryzen 7 PRO 2700U w/ Radeon Vega Mobile Gfx
CPU Vendor,AuthenticAMD
CPU Flags,3dnowprefetch abm adx aes aperfmperf apic arat avic avx avx2 bmi1 bmi2 bpext clflush clflushopt clzero cmov cmp_legacy constant_tsc cpb cpuid cr8_legacy cx16 cx8 de decodeassists extapic extd_apicid f16c flushbyasid fma fpu fsgsbase fxsr fxsr_opt ht hw_pstate ibpb irperf lahf_lm lbrv lm mca mce misalignsse mmx mmxext monitor movbe msr mtrr mwaitx nonstop_tsc nopl npt nrip_save nx osvw overflow_recov pae pat pausefilter pclmulqdq pdpe1gb perfctr_core perfctr_llc perfctr_nb pfthreshold pge pni popcnt pse pse36 rapl rdrand rdseed rdtscp rep_good sep sev sev_es sha_ni skinit smap smca smep ssbd sse sse2 sse4_1 sse4_2 sse4a ssse3 succor svm svm_lock syscall tce topoext tsc tsc_scale v_vmsave_vmload vgif vmcb_clean vme vmmcall wdt xgetbv1 xsave xsavec xsaveerptr xsaveopt
Logical Cores,8
Physical Cores,4
Base Frequency (MHz),1600.0
Boost Frequency (MHz),2200.0
Chipset,83DA
L1d Cache,128 KiB (4 instances)
L1i Cache,256 KiB (4 instances)
L2 Cache,2 MiB (4 instances)
L3 Cache,4 MiB (1 instance)
OpenMP Version,4.5
Total RAM (GB),14.55
CUDA Capable Device,N/A
CUDA Version,N/A
AVX Supported,Yes
SSE Supported,Yes
